apap020|True|Graphic Communications International Union, Local 10-B (Bookbinder); Records|1892-1989|2 Reelss|The Correctional Association of New York Records includes records from the Board of Directors, annual reports, prison visit files, Narcotics Committee files, program and bureau files, project files, subject files, and publications. The only records of the organization available from the nineteenth century are the annual reports, which have been microfilmed and are available in the University Library.|False|&#13;&#10;Access to this record group is unrestricted.
apap001|True|American Association of University Professors, Albany Chapter; Records|1944-1974|0.75 cubic ft.|The American Association of University Professors Records document the activities of the Albany Chapter from 1944 to 1974.|False|&#13;&#10;Access to these records is unrestricted.
apap002|True|American Association of University Women, Albany Chapter; Records|1913-1992|5.9 cubic ft.|These records document the history of the Albany Branch of the American Association of University Women from 1913 - 1992. The records relate chiefly to women's issues; particularly higher education, general education, membership, international relations, legislation, World War II, employment, teaching, community projects and Albany, NY.|False|&#13;&#10;Access to this record group is unrestricted.
apap003|True|Association of Colleges and Universities of the State of New York (ACUSNY); Records|1938-1992|22.5 cubic ft.|An early organization representing higher education before the Legislature and the Executive in Albany, as well as the Federal Government in Washington D.C.|False|&#13;&#10;Access to this record group is unrestricted.
apap004|True|Albany County Civic Center; Collection|1984-1988|0.75 cubic ft.|The Albany County Civic Center Collection documents the policy decisions that went into planning an arena in downtown Albany. Originally named the Knickerbocker Arena, it was later known as the Pepsi Arena and the Times Union Center.|False|&#13;&#10;Access to these records is unrestricted.
apap005|True|Newspaper Guild of Albany, Local 34; Records|1936-1989|5.0 cubic ft.|Chartered in 1934, as the Tri-City Newspaper Guild of Albany, Schenectady, and Troy, the Guild signed its first contract with the Albany Times Union in 1937. The collection includes correspondence, minutes, contracts, and organizing files. The majority of material in the collection is photocpied.|False|&#13;&#10;Access to this record group is unrestricted with the exception of a small number of files noted in series 3, Grievance Files.
apap006|True|Albany Printing Pressmen, Assistants and Offset Workers Union, No. 23-C Graphic Communications International Union; Records|1951-1989|1 Reels|Meeting minutes from the Albany Printing Pressmen, Assistants and Offset Workers Union who represented typographical workers from throughout the Capital District.|False|&#13;&#10;Access to this record group is unrestricted.
apap007|True|Albany Typographical Union No. 4; Records|1850-1988|27 reels of microfilm|This collection documents the activities of the Albany Typographical Union, the first labor union founded in Albany, N.Y.|False|&#13;&#10;Access to this record group is unrestricted.
apap008|True|Urban League of Northeastern New York; Records|1966-1987|8.5 cubic ft.|Since its establishment in 1966 as the Urban League of the Albany N.Y. Area, the Urban League of Northeastern New York has campaigned for voter registration, housing, education, social services and other issues of concern to African Americans and others in the New York State Capital District.|False|&#13;&#10;Access to this record group is unrestricted.
apap011|True|Capital District Coalition Against Apartheid & Racism; Records|1981-1995|6 Reels|Founded by a group of Albany area residents who organized to prevent the Springboks, the all-white South African national rugby team representing the apartheid South African government, from playing a game against the American all-star rugby team in Albany scheduled in 1981.|False|&#13;&#10;Access to this record group is unrestricted.
apap012|True|New York State Coalition for Criminal Justice; Records|1971-1986|19.25 cubic ft.|Formed in reaction to the Rockefeller Administration's crack-down following the Attica Prison riot, the New York State Coalition For Criminal Justice's primary mission was to reform what it regarded as an excessively harsh criminal justice system in New York.|False|&#13;&#10;Access to this record group is unrestricted with the exception of series 5.
apap013|True|Columbia County Typographical Union, No. 896; Records|1927, 1936-1968|0.66 cubic ft.|The Columbia County Typographical Union No. 896 records document the workings of this union from 1927-1968.|False|&#13;&#10;Access to this record group is unrestricted.
apap014|True|Correctional Association of New York; Records|1844-1988|30.97 cubic ft.|The Correctional Association of New York Records includes records from the Board of Directors, annual reports, prison visit files, Narcotics Committee files, program and bureau files, project files, subject files, and publications. The only records of the organization available from the nineteenth century are the annual reports, which have been microfilmed and are available in the University Library.|False|&#13;&#10;Access to portions of Series 1, 3, 5, 6, and 7 is restricted as they contain personal identifiable information related to incarcerted individuals and others. Restricted folders in these series are noted at the file-level and requests to view these materials must be discussed with a staff member. All other series are unrestricted. Consult a staff member for further details.
apap016|True|Empire Typographical & Mailer Conference, Communications Workers of America; Records|1919-1990|1 Reels|Records of the Empire Typographical and Mailers Conference, CWA, a biannual New York State conference for union printers and mailers.|False|&#13;&#10;Access to this record group is unrestricted.
apap017|True|Glove Cities Area Joint Board, ACTWU; Records|1933-1989|5 cubic ft.|The Glove Cities Area Joint Board of the Amalgamated Clothing Workers of America (ACWA) was founded in Gloversville, N.Y., 1954. This Joint Board originally had jurisdiction over the clothing workers unions in Gloversville and Johnstown, N.Y., and nearby villages. These locals were primarily locals of glove and leather goods workers.|False|&#13;&#10;Access to this record group is unrestricted.
apap018|True|Fulton County Typographical Union, No. 268; Records|1894-1973|1.25 cubic ft.|The Fulton County Typographical Union No. 268 records document the workings of this union, primarily, in the form of minutes, from 1894-1973.|False|&#13;&#10;Access to this record group is unrestricted.
apap019|True|Greater Glens Falls (N.Y.) Central Labor Council, AFL-CIO; Records|1959, 1969, 1977-1979, 1981-1990|0.17 cubic ft.|The Greater Glens Falls (N.Y.) Central Labor Council document the history of their council, which was formed in 1959.|False|&#13;&#10;Access to this record group is unrestricted with the exception of one folder, which is marked.
apap063|True|Moffat, Abbot Low; Papers|1929-1943|4.4 cubic ft.|New York Republican Politician and proponent of the NYS Thruway, Moffat served on the State Assembly 1929-1943, U.S. State Department South-East Asia Division, 1944-1947, and later as a U.S. diplomat in Greece, the United Kingdom, Burma, and Ghana.|False|&#13;&#10;Access to this record group is unrestricted.
apap064|True|Business and Professional Women's Club of Albany, New York; Records|1934-1988|2.3 cubic ft.|"The Business and Professional Women's Club of Albany, New York, (BPW) was founded in 1934 with 22 charter members as a chapter of the Business and Professional Women's Clubs of New York State, Inc. (founded in 1919) and a member of the National Federation of Business and Professional Women's Clubs, Inc. The objectives of the club, according to its by-laws, were ""To elevate the standards for women in business and in the professions; To promote the interests of business and professional women; To bring about a spirit of cooperation among business and professional women of the United States; [and] To extend opportunities to business and professional women through education along lines of industrial, scientific, and vocational activities."""|False|&#13;&#10;Access to this record group is unrestricted.
apap043|True|Associated Industries of New York State / The Business Council of New York State; Records|1996 December 19 - 2017 March 27|365 captures|The Associated Industries of New York State/ Business Council of New York State Records contains documents which were created during the group's 66 years of business. Among the contents are files on the group's former directors, correspondence and legal council records. The records of the association also contain some publications from other sources.|False|&#13;&#10;Access to this record group is unrestricted.
apap044|True|Family Planning Advocates of New York State; Records|1976-2004|7.72 cubic ft.|Family Planning Advocates of New York State was established in the 1970's by the affiliates of Planned Parenthood of New York State in an effort to expand the capacity of its organization to affect public policy through lobbying and education.|False|&#13;&#10;Access to this record group is unrestricted.
apap045|True|Post, Libby; Papers|1978-2005|4.18 cubic ft.|The Libby Post Papers contain political campaign documents, professional correspondences, news clippings, meeting minutes, agendas, document drafts, press releases, news letters, civil activism notes, and other materials that document her involvement securing various LGBT rights and with political organizations, as well as the general LGBT community in Albany, NY.|False|&#13;&#10;Access to this record group is unrestricted with the exception of one folder in Series 5 noted in the container list.
apap046|True|Student Association of the State University of New York (SASU); Records|1969-1985|17.5 cubic ft.|This collection documents the activities of the Student Association of the State University of New York from its founding in 1970 hrough its first decade of existence.|False|&#13;&#10;Access to this record group is unrestricted.
apap047|True|Sheet Metal Workers' International Association, Local 83; Records|1892-1989|2 cubic ft.|The Sheet Metal Workers International Association, Local 83 Records document the day-to-day operations of the union from the years 1892-1984 using meeting minutes and other documents refrenced in the minutes including correspondence, treasurer's reports, newsletters and strike bulletins.|False|&#13;&#10;Access to this record group is unrestricted.
apap048|True|Miles, Rufus E., Jr.; Papers|1934-1985|8 cubic ft.|Miles served fifteen years as a top level administrator at the Federal Security Agency and the Department of Health Education and Welfare.|False|&#13;&#10;Access to this record group is unrestricted.
apap051|True|Lurie, Andrea; Papers|1967-1986|3.0 cubic ft.|This collection contains materials related to the women's movement and lesbian rights in New York State, especially the Capital Region in the 1970s.|False|&#13;&#10;Access to this record group is unrestricted.
apap052|True|International Brotherhood of Painters & Allied Trade, Local 201; Records|1900-1982|2.0 cubic ft.|The collection documents the history of the unions that formed Painters and Allied Trades Local 201, including Local 12 of Troy, Local 62 of Schenectady, and Local 201 of Albany.|False|&#13;&#10;Access to this record group is unrestricted.
apap053|True|United Association of Journeymen & Apprentices of Plumbers and Pipefitting Industry of the U.S. and Canada, Local 105; Records|1893-1972|1.6 cubic ft.|United Association of Journeymen and Apprentices of the Plumbing and PipeFitting Industry of the United States and Canada, Local 105 Records document the regular business of this chapterof the union, including meetings, financial reports, grievance reports, and membership.|False|&#13;&#10;Access to this record group is unrestricted.
apap054|True|United University Professions (UUP), Albany, New York Chapter; Records|1968-1990|0.83 cubic ft.|United University Professions (UUP) is the union and collective bargaining agent for the faculty and non-teaching professionals of the State University of New York (SUNY). UUP (initially named SUNY/United) was created by the 1973 merger of the Senate Professional Association (SPA) and the State University Federation of Teachers (SUFT).|False|&#13;&#10;Access to this record group is unrestricted.
apap065|True|Capital Area School Development Association; Records|1949-1991|5 cubic ft.|CASDA is cooperative organization among public and private schools and the University at Albany's School of Education to facilitate programs for school employees.|False|&#13;&#10;Access to this record group is unrestricted.
apap055|True|Willison, Malcolm; Papers|1958-1997|14.9 cubic ft.|This collection details the social activism of Malcolm Willison in New York State's Capital Region. As an active board member of several local groups, his papers contain minutes, financial statements and budgets, programming ideas, brochures, planning notes, articles and reports, and clippings that detail the evolution of the various organizations contained in the collection. Organizational newsletters and event flyers, course and conference information planned by Willison in his capacity on executive boards, and vast amounts of correspondence about any number of events and issues are also part of the scope of the collection.|False|&#13;&#10;Access to this record group is unrestricted.
apap056|True|Abrams, Albert J.; Papers|1961, 1964-1965, 1970-1976, 1980|0.75 cubic ft.|Albert Jack Abrams was born in Stamford, Connecticut, on May 29, 1915. Abrams began his university studies at the University of Michigan in 1932, and he attended the National Institute for Public Affairs in Washington, D.C., in 1935. He received an A.B. from New York University in 1936, and he continued his studies at Columbia University (1940) and the Cornell School of Labor and Industrial Relations (1946). The records in this manuscript collection were originally arranged in a numerically classified subject file under the general subject of legislative administration.|False|&#13;&#10;Access to this record group is unrestricted.
apap057|True|Concerned Citizens Against Crossgates; Records|1979-1984|5.05 cubic ft.|Concerned Citizens Against Crossgates (CCAC) was organized as an informal group opposed to the construction of the Pyramid Crossgates mall in the summer of 1979.|False|&#13;&#10;Access to this record group is unrestricted.
apap058|True|Gould, Samuel; Papers|1933-1997|4.34 cubic ft.|The Samuel B. Gould Papers document his personal life as well as his many professional positions in education, including his tenure as chancellor of the State University of New York.|False|&#13;&#10;Access to this record group is unrestricted.
apap059|True|New York State Common Cause; Records|1972-1987|7 cubic ft.|The records of New York State Common Cause document campaigns against political action committees, election reform, civil service reform, and accountability issues.|False|&#13;&#10;Access to this record group is unrestricted.
apap060|True|Conservative Party of New York State; Records|1960-2019|40.5 cubic ft.|The Conservative Party Of New York State Records contain files created and used the chairmen of the New York State Conservative Party: Kieran O'Doherty, 1962; J. Daniel Mahoney, 1962-86; Serphin Maltese, 1986-88; and Michael R. Long, 1989-2019. The strength of the records is in its documentation of New York State politics and elections (including the State Legislature and other state offices), the Conservative Party's political endorsements and candidates (including writer William F. Buckley, Jr., and Senator James Buckley), and the political goals and ideological positions on contemporary and 20th century issues.|False|&#13;&#10;Access to this record group is unrestricted.
apap061|True|Society for the Preservation of Water Resources; Records|1981-1999|12.46 cubic ft.|Documents major projects the society undertook to protect water resources, including the Wilmorite project, the Bonded Concrete project, and the water supply applications of the city of Schenectady and the town of Rotterdam.|False|&#13;&#10;Access to this record group is unrestricted.
apap062|True|Abramowitz, Howard; Papers|1937-1985|0.6 cubic ft.|This collection contains research files created by and several typescript essays written by sociologist Howard D. Abramowitz. The collection amply documents his interest in the American labor movement and, in particular, the Congress of Industrial Organizations (CIO) and sheds light on the scholarly research that he completed during the final years of his life.|False|&#13;&#10;Access to this record group is unrestricted.
apap066|True|Council 82 Security and Law Enforement Employees, AFSCME; Records|1966-1989|9.6 cubic ft.|This collection documents the day-to-day activities of Council 82, the New York State Law Enforcement Officers Union, during its first two decades of existence.|False|&#13;&#10;Access to this record group is unrestricted with the exception of Series 3.
apap067|True|Crossgates Regional Shopping Mall Collection; Collection|1979-1985|5.33 cubic ft.|Materials relating to the application of the Pyramid Crossgates Company to the New York State DEC and DOT for permits to build the Crossgates Regional Shopping Mall in the Albany Pine Bush.|False|&#13;&#10;Access to this record group is unrestricted.
apap068|True|Desmond, Thomas C.; Papers|1930-1972|1.8 cubic ft.|Press releases about his work and concerns as a New York State Senator, clippings about Senator Desmond and his wife, correspondence with Albert J. Abrams and reports and drafts on the Presidential primary system.|False|&#13;&#10;Access to this record group is unrestricted.
apap069|True|Estabrook, Arthur H.; Papers|1908-1962|2.0 cubic ft.|"Papers of eugenics researcher Arthur Estabrook focus on racial integrity, sterilization of the mentally defective, venereal disease, intelligence, and criminality. Limited material is availible on the Jukes of New York state, the ""Tribe of Ishmael"" of Indiana, and the Carrie Buck trial."|False|"&#13;&#10;The collection is open to use by ""qualified and responsible scholars"". Please note that several files are restricted and this is noted next to the respective folder. Researchers must complete a non-disclosure form before gaining access and reproductions are not permitted."
apap070|True|Jones, Howard Palfrey; Papers|1917-1973|27 cubic ft.|This collection documents many aspects of the career of Howard Palfrey Jones, including work in the civil service in New York State, foreign service, and with local governments.|False|&#13;&#10;Access to this record group is unrestricted.
apap041|True|Empire State Federation of Women's Clubs; Records|1938-1991|3.46 cubic ft.|These records document the activities and membership of the Empire State Federation of Women's Clubs (ESFWC) - the umbrella organization of New York State African-American women's groups - from 1938-1991. The collection also includes records from affiliated organizations: the National Association of Colored Women's Clubs (NACWC) and the Northeast Federation of Women's Clubs (NFWC).|False|&#13;&#10;Access to this record group is unrestricted.
apap042|True|Solidarity Committee of the Capital District; Records|1978-2024|20.8 cubic ft.|The Greyhound Strikers Solidarity Committee of the Capital District was created by Albany-area labor union activists in support of the autumn 1983 Amalgamated Transit Union strike against Greyhound Bus Lines. After the strike, the group was reconstituted as the Solidarity Committee of the Capital District (SCCD) and worked to support hundreds of strikes and labor activities in Eastern New York, across the country, and in Latin America.|False|&#13;&#10;Access to this record group is unrestricted.
apap096|True|National Association of Black Social Workers, Capital District Chapter; Records|1970-1991|.17 cubic ft.|National Association of Black Social Workers, Capital District Chapter Records document the organization's history and activities with various forms|False|&#13;&#10;Access to this record group is unrestricted.
apap097|True|State University Construction Fund; Records|1961-1979|0.88 cubic ft.|A public benefit corporation formed to plan, design, construct and provide financing for facilities required by the SUNY system.|False|&#13;&#10;Access to this record group is unrestricted.
apap077|True|United Steelworkers of America (USWA) AFL-CIO-CLC, Local 8652; Records|1977-1989|0.2 cubic ft.|This is a repository of various records related to the United Steelworkers of America (USWA) AFL-CIO-CLC, Local 865.|False|&#13;&#10;Access to this record group is unrestricted.
apap078|True|Americans for Effective Law Enforcement, New York Chapter; Records|1967-1973|0.53 cubic ft.|The materials in the Americans for Effective Law Enforcement, New York Chapter collection document the chapter's early activities and establishment.|False|&#13;&#10;Access to this record group is unrestricted.
apap079|True|Melich, Tanya M.; Papers|1912-2018|37.8 cubic ft.|The Tanya M. Melich Papers contain materials relating to the political landscape of the United states throughout the latter half of the twentieth century, as well as various social movements with a particular emphasis on Women's rights.|False|&#13;&#10;Access to this record group is unrestricted.
apap080|True|Blinken, Donald M.; Papers|1969-2003|5.95 cubic ft.|Donald M. Blinken was chairman of the Board of Trustees of the State University of New York from 1978-1990. These records pertain to his tenure in that position.|False|&#13;&#10;Access to this record group is unrestricted.
apap081|True|Brothers, The; ead|1966-1999|2.1 cubic ft.|The Brothers was a civil rights group that was active in Albany, New York for several years beginning in 1966.|False|"&#13;&#10;Access to the original newspapers is not available. Researchers may access preservation copies of <emph render=""italic"">The Albany Liberator</emph> in Box 2."
apap082|True|City Club of Albany; Records|1945-1961|0.3 cubic ft.|The collection documents the City Club of Albany and primarily contains organizational records from 1957-1959, mainly concerned with issues of the Citizen's Platform. The collection is composed chiefly of files retained by Harriet D. Adams as vice president of the club when it was particularly interested in urban planning.|False|&#13;&#10;Access to this record group is unrestricted.
apap083|True|Conference of Large City Boards of Education; Records|1968-1981|1.0 cubic ft.|The Conference of Large City Boards of Education Records include some of the day-to-day operations of the Special Task Force on Equity and Excellence in Education as documented through files kept by Eugene Samter, Executive Director of the Conference. The collection also includes Samter's testimony from the 1976 Levittown vs. Nyquist case argued before the New York State Supreme Court.|False|&#13;&#10;Access to this record group is unrestricted.
apap084|True|Duryea, Perry B., Jr.; Papers|1961-1972|.2 cubic ft.|The Perry B Dunyea, Jr. Papers is a collection documenting Dunyea's years as Republican Majority Leader of the State Assembly. This collection includes news clippings, a weekly column published about significant issues, Dunyea press releases, and other publicity materials released by his staff. This collection does not include any of his personal papers. The collection appears to be composed of material assembled for research about Duryea around 1972.|False|&#13;&#10;Access to this record group is unrestricted.
apap085|True|Fetterley, Judith; Papers|1971-1993|0.5 cubic ft.|"The collection includes materials related to the women's issues with a particular emphasis on the University at Albany, SUNY. Records of particular interest are those of Albany Women Against Rape, Capital District Women, and the Caucus on Women's Rights at SUNY. Also included are issues of the publication <emph render=""italic"">The Spokeswoman</emph> (1971-1981)."|False|&#13;&#10;Access to this record group is unrestricted.
apap086|True|Helsby, Robert D.; Papers|1966-1987|0.4 cubic ft.|The Robert D. Helsby Papers include materials that document his work as first chair of the New York State Public Employment Relations Board from 1967-1977 and include publications on labor relations, New York's Taylor Law and collective bargaining.|False|&#13;&#10;Access to this record group is unrestricted.
apap098|True|State University of New York, Board of Trustees; Records|1948-2001|7.22 cubic ft.|State University of New York (SUNY) Board of Trustees Records document the activities of public higher education campuses across New York State, during the later half of the twentieth century. |False|&#13;&#10;Access to this record group is unrestricted.
apap087|True|Hurd, T. Norman; Papers|1975-1976|17 cubic ft.|The Thomas Norman Hurd collection includes his 1975 testimonies before the New York State Moreland Act Commission on Nursing Homes and Residential Facilities. The remainder of the collection is composed of Hurd's 1976 contributions to the weekly reports submitted to Vice President Nelson Rockefeller on New York City's budget crisis and progress toward resolution. These reports were also presented to President Gerald Ford.|False|&#13;&#10;Access to this record group is unrestricted.
apap088|True|Miller, Howard F.; Papers|1939-1983|8.4 cubic ft.|Miller was an expert on institutional budgetary finance. He served on the faculty of the Maxwell School of Citizenship and Public Affairs, Syracuse University (1947-1969), as deputy director of the New York State Division of the Budget (1971-1978), and director of the budget, (1978-1980).|False|&#13;&#10;Access to this record group is unrestricted.
apap089|True|Monday Musical Club; Records|1924-1988|15.02 cubic ft.|The Monday Music Club was formed in 1904 among twenty women, to practice their music skills. The women practiced their skills in workshops and other artistic excerices. Even though they were founded in 1904, the collection does not cover the first twenty years of the club.|False|&#13;&#10;Access to this record group is unrestricted.
apap090|True|Mulligan, Thomas E., Jr.; Papers|1941-1973|1 cubic ft.|The Thomas E. Mulligan Papers document Mulligan's life from 1941 to 1973 including his two unsucessful political campaigns, one for Mayor of Albany and the other for assemblyman.|False|&#13;&#10;Access to this record group is unrestricted.
apap091|True|New York State Executive Advisory Committee on the Administration of Justice; Records|1981-1983|0.66 cubic ft.|The New York State Executive Advisory Commission on the Administration of Justice Records is composed of materials retained by Vincent O'Leary, a past president of the State University of New York at Albany and member of the commission. The collection provides insight into the inner workings and public exchanges of the commission members as they discussed and dealt with problems associated with the criminal justice system.|False|&#13;&#10;Access to this record group is unrestricted.
apap092|True|Wemple, Archibald C.; Papers|1950-1951|0.33 cubic ft.|Archibald C. Wemple scrapbooked his winning campaign for the office of Mayor of Schenctady, NY.|False|&#13;&#10;Access to this record group is unrestricted.
apap093|True|State University of New York, University Faculty Senate; Collection|1944-2003|6.0 cubic ft.|The University Faculty Senate was created to centralize and govern all of the colleges throughout the SUNY system. This is an artificial collection assembled from the records held by University at Albany, SUNY representatives.|False|&#13;&#10;Access to this record group is unrestricted.
apap094|True|Women's Press Club of New York State; Records|1984-1989|0.17 cubic ft.|The Women's Press Club of New York State, INC. Records consist of a collection of publicity materials for the organization dated from 1984 through 1989.|False|&#13;&#10;Access to this record group is unrestricted with the exception of one folder, which is marked.
apap095|True|Wise, George; Papers|circa 1989|.17 cubic ft.|George Wise Papers document history about General Electric founded in Schenectady, New York|False|&#13;&#10;Access to this record group is unrestricted.
apap099|True|United University Professions (UUP), Oral History Project; Records|1968-2003|2.73 cubic ft.|The UUP Oral History Project's intent was to capture the history of the UUP as well as its predecessors through interviews with union executives and members.|False|&#13;&#10;Access to this record group is unrestricted with the exception of several folders which are marked. While Dr. Ivan Steen, the Project's Director, subsequently asked individuals interviewed for the oral history projects he conducted to sign a clearance form or an agreement, not all interview files donated to the archive contain forms. In addition, some individuals asked for their interviews to be permanently sealed or sealed until a later date. Therefore notes, transcripts and audio of a select number of interviews are restricted until clearance may be obtained from the interviewees or their heirs.
apap100|True|Wittner, Lawrence; Papers|1977-2020|3.16 cubic ft.|The Lawrence S. Wittner Papers document Dr. Wittner's activism in politics and his work with United University Professions, the Albany County Central Federation of Labor, the Solidarity Committee of the Capital District, the Albany Chapter of Democratic Socialists of America, Upper Hudson Peace Action, and various other social justice and peace organizations in the Capital Region.|False|&#13;&#10;Access to this record group is unrestricted.
apap072|True|Center for Law and Justice; Records|1985-2000|12.75 cubic ft.|This collection documents the day-to-day activities of the Center for Law and Justice in Albany, New York, founded by its Executive Director Dr. Alice P. Green in 1985.|False|&#13;&#10;Access to this record group is unrestricted, except for Series 2 and Series 5, which have restrictions.
apap073|True|Simon, Carleton; Papers|1881-1952, 1956|2.0 cubic ft.|The collection of papers is about drugs and drug related crimes in the United States. It is written by Carleton P. Simon. Simon is a psychiatrist by profession and is very much interested in crimes. This passion led to his next profession as a criminlogist. His writings focus on crimes and examine the motives behind the crimes. Simons has also written fiction magazines and poems.|False|&#13;&#10;Access to this record group is unrestricted.
apap074|True|National Association For The Advancement of Colored People (NAACP) Albany New York Branch Records|1965-1988|3.2 cubic ft.|Collection of records and materials that document the day-to-day activities of the Albany branch of the NAACP, mainly from the mid-1960s to the mid-1980s.|False|&#13;&#10;Access to this record group is unrestricted.
apap075|True|Albany Allied Printing Trades Council; Records|1908-1990|0.33 cubic ft.|The Albany Allied Printing Trades Council Collection contains meeting minutes of the Council dating from 1908-1990.|False|&#13;&#10;Access to this record group is unrestricted.
apap076|True|Laborers' International Union of North America, Local 157; Records|1912-1972|0.4 cubic ft.|This is a repository of the minutes and records of the local chapter 157 of the Laborers' International Union of North America.|False|&#13;&#10;Access to this record group is unrestricted.
apap126|True|New York Public Welfare Association; Records|1928-1995|10.6 cubic ft.|The collection documents a sixty-seven year time span (1928-1995) of the New York Public Welfare Association and contains a wealth of material related to the history and diverse functions of the organization including correspondence, memos, minutes of meetings, expenditures, and other files.|False|&#13;&#10;Access to this record group is unrestricted
apap127|True|Willowbrook Review Panel; Records|1975-1981|112.25 cubic ft.|The Willowbrook Review Panel was a Federal monitoring group established by the U.S. District Court in 1975 and dismissed from its duties in 1987. The Willowbrook Review Panel Records provide extensive documentation of the Panel's main function: monitoring implementation of the 1975 Willowbrook Consent Decree in New York State which set new standards for the care of the facility's residents.|False|&#13;&#10;The Willowbrook Review Panel was a Federal monitoring group established by the U.S. District Court in 1975 and was dismissed from its duties in 1987. The records were house at the American Civil Liberties Union office until cleared by the National Archives for restricted access in 2002. Portions of series 1-10 are restricted due to the personal information in the records. Researchers must complete a non-disclosure form before gaining access and reproductions are not permitted. Counsel for the plantiffs or members of the Review Panel may continue to have access to the records without restriction.
apap106|True|ACT UP, Albany (N.Y.) Chapter; Records|1983-1992|2.47 cubic ft.|This collection details records kept by the ACT UP organization committed to ending the AIDS crisis.|False|&#13;&#10;Access to this record group is unrestricted.
apap107|True|Mather, John J.; Papers|1965-1996|12 cubic ft.|Papers written by John J. Mather from 1965 to 1996.|False|&#13;&#10;Access to this record group is unrestricted.
apap108|True|Halperin, Rick; Papers|1982-2000|11.1 cubic ft.|Death penalty abolitionist who worked with many anti-death penalty organizations, capital defense attorneys, representatives of various communities of faith, newspaper editorial boards, victims' rights groups, members of the families of the condemned, and many death row inmates throughout the country.|False|&#13;&#10;Access to this record group is unrestricted.
apap109|True|Affordable Housing Partnership and Capital Affordable Housing Funding Corporation; Records|1983-2001|1.7 cubic ft.|The collection contains documentation of the Affordable Housing Partnership and Capital Affordable Housing Funding Corporation's adminstrative activities.|False|&#13;&#10;Access to Series 5 is restricted. All other series are unrestricted. Consult a staff member for further details.
apap110|True|New York State Defenders Association (NYSDA); Records|1975-1998|12.0 cubic ft.|The collection contains photocopied news clippings related to the death penalty, amassed by the New York State Defenders Association.|False|&#13;&#10;Access to this record group is unrestricted.
